year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Total
2010,6.291666666666667,6.611111111111111,7.08,7.45,6.010714285714286,6.5125,7.9,6.473684210526316,5.892307692307692,6.111111111111111,0.0,5.6000000000000005,6.766666666666667,0.0,6.0,6.0928571428571425,6.4750000000000005,0.0,6.24,0.0,0.0,6.290303030303031
2011,6.472222222222222,6.329166666666667,6.0,7.1,6.02,6.325,7.6,6.765000000000001,6.26,6.0,7.2,5.5,0.0,0.0,6.45,6.355555555555556,6.714285714285714,7.6,6.725,7.2,0.0,6.367878787878788
2012,6.3950000000000005,6.8133333333333335,7.114285714285714,7.2,6.481481481481482,6.733333333333333,7.2,6.7555555555555555,6.5375,6.1499999999999995,7.4,5.38,6.5,0.0,6.466666666666666,6.45,6.6,6.8,6.42,0.0,0.0,6.561538461538461
2013,6.5285714285714285,6.441666666666666,6.5625,7.25,6.470000000000001,6.407692307692307,0.0,6.6952380952380945,6.25,6.833333333333333,0.0,5.7,0.0,0.0,8.1,0.0,7.0,6.300000000000001,6.2727272727272725,7.6,6.4,6.5564285714285715
2014,7.061904761904763,6.864705882352942,7.028571428571429,7.225,6.395238095238096,6.672727272727273,7.1,6.800000000000001,6.45,6.25,6.1,4.75,6.8,0.0,6.214285714285714,5.8,7.142857142857143,7.0,6.275,0.0,6.1,6.661870503597123
2015,6.372727272727272,6.445833333333333,6.3,7.314285714285715,6.233333333333333,5.955555555555556,7.3,6.373076923076923,5.86,6.15,7.375,5.8,6.066666666666666,0.0,5.949999999999999,6.085714285714286,6.857142857142857,7.4,6.029999999999999,7.1,0.0,6.357142857142857
2016,6.507692307692308,6.640740740740741,6.827272727272727,7.08,6.5307692307692315,6.925,0.0,6.465217391304347,6.566666666666666,6.35,7.3,6.133333333333333,6.3,0.0,6.35,6.366666666666667,6.6000000000000005,7.4,6.433333333333334,0.0,0.0,6.574522292993631
2017,6.845000000000001,6.52,5.95,7.333333333333333,5.995652173913044,5.85,7.949999999999999,6.6066666666666665,4.4,6.422222222222222,7.550000000000001,6.75,5.8,7.6,6.825,4.875,6.8,2.9,6.314285714285715,0.0,0.0,6.410144927536232
2018,6.659090909090909,6.643478260869566,6.88,6.8625,6.81,6.85,8.4,6.705882352941177,6.116666666666667,6.2125,7.15,5.625,8.0,6.7,5.9,6.36,6.716666666666666,7.4,5.785714285714286,8.4,0.0,6.623287671232877
Total,6.564948453608247,6.5695431472081225,6.6030303030303035,7.161538461538462,6.3,6.4328125,7.611111111111111,6.612429378531074,6.151923076923077,6.250909090909091,7.233333333333333,5.693333333333333,6.533333333333334,7.15,6.362068965517241,6.130188679245283,6.796153846153846,6.609090909090909,6.268918918918919,7.575,6.25,6.482439382806772
