studio,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
3D,6100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6100000.0
A23,0.0,151000.0,0.0,13200.0,0.0,0.0,0.0,0.0,0.0,164200.0
A24,0.0,0.0,0.0,27845400.0,16388300.0,51275100.0,39168000.0,81405700.0,45848000.0,261930500.0
ADC,0.0,0.0,0.0,0.0,0.0,228000.0,0.0,20200.0,0.0,248200.0
AF,0.0,0.0,1000000.0,76900.0,558000.0,353000.0,0.0,0.0,0.0,1987900.0
AGF,0.0,15800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15800.0
AM,0.0,237000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237000.0
AR,0.0,0.0,0.0,0.0,0.0,0.0,350000.0,0.0,0.0,350000.0
ATO,1000000.0,0.0,480000.0,13500.0,0.0,0.0,0.0,0.0,0.0,1493500.0
AZ,0.0,0.0,0.0,0.0,0.0,116000.0,0.0,0.0,0.0,116000.0
Abk.,0.0,0.0,0.0,0.0,294000.0,0.0,0.0,0.0,0.0,294000.0
Abr.,11400.0,0.0,211000.0,0.0,0.0,627000.0,2900000.0,21900.0,231000.0,4002300.0
Affirm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800000.0,17600000.0,23400000.0
Alc,0.0,0.0,0.0,0.0,0.0,670700.0,0.0,0.0,0.0,670700.0
Amazon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400000.0,5000000.0,6400000.0
Ampl.,0.0,0.0,0.0,0.0,361000.0,91300.0,1200000.0,0.0,0.0,1652300.0
Anch.,93100.0,170900.0,775000.0,90500.0,0.0,0.0,0.0,0.0,0.0,1129500.0
Annapurna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18900000.0,67300000.0,86200000.0
App.,3600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0
Arrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,0.0,21000.0
Arth.,188000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188000.0
Aviron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,1600000.0
B360,0.0,0.0,0.0,0.0,87900.0,0.0,0.0,0.0,0.0,87900.0
BBC,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,81300.0,0.0,88800.0
BG,0.0,0.0,0.0,0.0,0.0,34510700.0,37133500.0,20967000.0,0.0,92611200.0
BGP,0.0,0.0,0.0,0.0,38100.0,0.0,0.0,0.0,0.0,38100.0
BH Tilt,0.0,0.0,0.0,0.0,0.0,7200000.0,15600000.0,0.0,20900000.0,43700000.0
